# From 
#   http://www.nationmaster.com/graph/hea_obe-health-obesity
# which says that it came from 
#    http://www.oecd.org/document/16/0,2340,en_2649_34631_2085200_1_1_1_1,00.html
us,30.6
mx,24.2
uk,23.0
sk,22.9
gr,21.9
au,21.7
nz,20.9
hu,18.8
lu,18.4
cz,14.8
ca,14.3
es,13.1
ie,13.0
de,12.9
pt,12.8
fi,12.8
is,12.4
tr,12.0
be,11.7
pl,11.4
nl,10.0
se,9.7
dk,9.5
fr,9.4
at,9.1
it,8.5
no,8.3
ch,7.7
kr,3.2
jp,3.2



